cmpdname,isosmiles
18-oxotryprostatin A,CC(=CC(=O)C1=C(C2=C(N1)C=C(C=C2)OC)C[C@H]3C(=O)N4CCC[C@H]4C(=O)N3)C
14-norpseurotin A,C/C=C\\[C@@H]([C@@H](C1=C(C(=O)[C@@]2(O1)[C@H]([C@@](NC2=O)(C(=O)C3=CC=CC=C3)OC)O)C)O)O
6-methoxyspirotryprostatin B,CC(=C[C@H]1[C@]2(C=C3N1C(=O)[C@@H]4CCCN4C3=O)C5=C(C=C(C=C5)OC)NC2=O)C
14-hydroxyterezine D,C[C@H]1C(=O)N([C@H](C(=O)N1)CC2=CNC3=C(C=CC=C23)CC=C(C)C)O
N-Acetylloline,CC(=O)N(C)[C@H]1[C@H]2CN3[C@@H]1[C@@H](O2)CC3
Bendigole B,C[C@@H]([C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)C(=O)C
Bendigole C,C[C@@H]([C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)C(CC(=O)O)O
Ayamycin,CC[C@@H](CC(=O)C(Cl)Cl)[C@H](C)C1=CC=C(C=C1)[N+](=O)[O-]
Cytochalasin Z11,C[C@H]1[C@H]2[C@@H](NC(=O)[C@]2([C@H]([C@@H](C1=C)O)/C=C/C[C@H](C)C(=O)[C@H](C)O)O)CC3=CC=CC=C3
xyloallenolide B,CC(=C)C1CC2=C(O1)C=CC(=C2)COCC3=CC=C(C=C3)OCC=C=C
Antrocinnamomin A,CC(C)CC1=C(C(=O)N(C1=O)OC(=O)C)C2=CC=C(C=C2)OCC=C(C)C
Antrocinnamomin B,CC(C)CC1=C(C(=O)N(C1=O)O)C2=CC=C(C=C2)O
Antrocinnamomin D,CC(C)CC1=C(C(=O)OC1O)C2=CC=C(C=C2)OCC=C(C)C
Hymenoic acid,C[C@@H](CC/C=C(\\C)/C1CCC(CC1)C(=O)O)C(=O)O
Chlorohydroaspyrone A,C[C@@H]1[C@H](C=C(C(=O)O1)[C@H]([C@H](C)O)Cl)O
Chlorohydroaspyrone B,C[C@@H]1[C@H](C=C(C(=O)O1)[C@@H]([C@H](C)Cl)O)O
Streptopyrrolidine,C1[C@H]([C@H](NC1=O)CC2=CC=CC=C2)O
"1,8-Dihydroxy-3-methoxy-6-methylxanthone",CC1=CC(=C2C(=C1)OC3=CC(=CC(=C3C2=O)O)OC)O
Porrigenic acid,CCCC[C@@H](/C=C/C=C/C(=O)CCCCCCCC(=O)O)O
Cladoniamide A,CN1C(=O)[C@@]2(C3=C(C4=C(C5=CC=CC=C5N4[C@@]2(C1=O)O)OC)NC6=C3C=C(C=C6)Cl)O
Cladoniamide C,CN1C(=O)[C@@]2(C3=C(C4=C(C5=CC=CC=C5N4[C@@]2(C1=O)O)OC)NC6=CC=CC=C63)O
Cladoniamide E,CNC(=O)[C@@]1(C(=O)C2=C(C3=C(C4=C(N31)C=CC(=C4)Cl)OC)NC5=C2C=C(C=C5)Cl)O
Cladoniamide G,CNC(=O)[C@@]1(C2=C(C3=C(C4=C(N3C1=O)C=CC(=C4)Cl)OC)NC5=C2C=C(C=C5)Cl)O
Cladoniamide B,CN1C(=O)[C@@]2(C3=C(C4=C(C5=C(N4[C@@]2(C1=O)O)C=CC(=C5)Cl)OC)NC6=C3C=C(C=C6)Cl)O
Cladoniamide D,CNC(=O)[C@@]1(C(=O)C2=C(C3=C(C4=CC=CC=C4N31)OC)NC5=C2C=C(C=C5)Cl)O
Cladoniamide F,CNC(=O)[C@@]1(C2=C(C3=C(C4=CC=CC=C4N3C1=O)OC)NC5=C2C=C(C=C5)Cl)O
Chaetoxanthone C,C[C@@H]1CCC[C@@H](O1)C2=C(C(=C3C(=C2O)C(=O)C4=C(O3)C=CC=C4OC)Cl)O
"(7R,8R)-Alpha-Diversonolic Ester",CC1=CC(=C2C(=C1)OC3=C(C2=O)[C@@]([C@@H](CC3)O)(C(=O)OC)O)O
trichodermamide C,CN(C1=CC2=C(C(=C(C=C2)OC)OC)OC1=O)C(=O)C3=NO[C@H]4[C@@H](C=C[C@H]([C@]4(C3)O)O)O
"3-(4-Hydroxyphenyl)-4-isobutyl-1h-pyrrole-2,5-dione",CC(C)CC1=C(C(=O)NC1=O)C2=CC=C(C=C2)O
Papyracon D,CC(=O)CC1=C[C@@H]([C@]23C[C@H]2C(O[C@@]3(C1=O)O)(C)C)O
6-O-Methylpapyracon B,C[C@@H](/C=C/1\\C[C@@H]([C@]23C[C@H]2C(O[C@@]3(C1=O)OC)(C)C)O)O
6-O-Methylpapyracon C,C[C@H](/C=C/1\\C[C@@H]([C@]23C[C@H]2C(O[C@@]3(C1=O)OC)(C)C)O)O
"(E)-8-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-2,6-dimethyloct-6-enoic acid",CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\\C)/CCCC(C)C(=O)O)O
Tumonoic acid D,CCCCCCCC[C@H](C)C(=O)N1CCC[C@H]1C(=O)O
11-Hydroxymonocerin,CC[C@H]([C@@H]1C[C@H]2[C@@H](O1)C3=CC(=C(C(=C3C(=O)O2)O)OC)OC)O
Platensimycin B1,C[C@]12C[C@]34C[C@H]1C[C@@H]([C@H]3[C@](C(=O)C=C4)(C)CCC(=O)NC5=C(C=CC(=C5O)C(=O)N)O)O2
Platensimycin B3,C[C@]12C[C@]34C[C@H]1C[C@@H]([C@H]3[C@](C(=O)C=C4)(C)CCC(=O)NC5=C(C=CC=C5O)O)O2
Platensimycin B2,C[C@]12C[C@]34C[C@H]1C[C@@H]([C@H]3[C@](C(=O)C=C4)(C)CCC(=O)NC5=C(C=CC6=C5OC(=O)NC6=O)O)O2
Polycarcin V,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=C4C(=CC(=C5)C=C)OC)OC)O)O)O
Citrinamide A,CC(=O)N[C@@H](CCC(=O)NCCC(=O)C1=CC=CC=C1NC(=O)C(C)(C)C=C)C(=O)O
Sterelactone B,CCCCCC(=O)O[C@@H]1C2=C([C@@]34C[C@]3(CC2=CC1(C)C)C(=O)O[C@H]4O)C=O
Sterelactone D,CCCCCCCCCC(=O)O[C@@H]1C2=C([C@@]34C[C@]3(CC2=CC1(C)C)C(=O)O[C@H]4O)C=O
Sterelactone A,CCCC(=O)O[C@@H]1C2=C([C@@]34C[C@]3(CC2=CC1(C)C)C(=O)O[C@H]4O)C=O
Sterelactone C,CCCCCCCC(=O)O[C@@H]1C2=C([C@@]34C[C@]3(CC2=CC1(C)C)C(=O)O[C@H]4O)C=O
Hydroxyphenyl dihydroxyisoindolinone,C1C2=C(C=C(C=C2O)O)C(=O)N1C3=CC=C(C=C3)O
8'-Hydroxyzearalanone,C[C@H]1CC(CC(=O)CCCCCC2=C(C(=CC(=C2)O)O)C(=O)O1)O
"6,8-Diamino-7-Chloro-1-Methyl-2-Oxo-1,2-Dihydropyrrolo[4,3,2-De]quinoline-4-Carboxamide",CN1C2=C(C(=C(C3=C2C(=CC(=N3)C(=O)N)C1=O)N)Cl)N
Phomoeuphorbin A,C[C@]1([C@@H](C=C2C[C@@H](OC=C2C1=O)/C=C/C=C/C(=O)O)O)O
Phomoeuphorbin C,C/C=C/C(C([C@@H]1CC2=C[C@H]([C@@](C(=O)C2=CO1)(C)O)O)O)O
Blennolide C,CC1=CC(=C2C(=C1)O[C@]3([C@H](CCC(=O)C3=C2O)O)C(=O)OC)O
n-Butyl orsellinate,CCCCOC(=O)C1=C(C=C(C=C1C)O)O
Soraphinol C,CC(C)CC(C(=O)CC1=CC=C(C=C1)O)O
(5S)-albaflavenol,C[C@H]1C[C@@H](C2=C(C([C@H]3CC[C@@]12C3)(C)C)C)O
(5R)-albaflavenol,C[C@H]1C[C@H](C2=C(C([C@H]3CC[C@@]12C3)(C)C)C)O
Albaflavenone,C[C@H]1CC(=O)C2=C(C([C@H]3CC[C@@]12C3)(C)C)C
Chaetomugilin F,CC[C@H](C)/C=C/C1=CC2=C(C(=O)[C@@]3([C@H](C2=CO1)C4=C(O3)[C@@H]([C@H](OC4=O)C)C)C)Cl
Methyl 4-(hydroxymethyl)-2-pentylfuran-3-carboxylate,CCCCCC1=C(C(=CO1)CO)C(=O)OC
Dinemasone A,C[C@@H]1CC[C@@H]([C@]2(O1)CC(=O)[C@H]([C@@H](O2)C)O)O
Quinadoline A,CC(=C1C2=NC3=CC=CC=C3C(=O)N2C(C(=O)N1)CC4(C5NC(C(=O)N5C6=CC=CC=C64)(C)C)O)C
"(+)-(11S,15R)-11-Hydroxycurvularin",C[C@@H]1CCC[C@@H](CC(=O)C2=C(CC(=O)O1)C=C(C=C2O)O)O
Palmarumycin CP18,C1CC2(C3=C([C@H]1O)C(=O)C=CC3=O)OC4=CC=CC5=C4C(=CC=C5)O2
chaetomugilin D,CC[C@H](C)/C=C/C1=CC2=C(C(=O)[C@@]3([C@H](C2=CO1)[C@H]4C(=O)O[C@@H]([C@H]([C@]4(O3)O)C)C)C)Cl
Chaetomugilin E,CC[C@H](C)/C=C/C1=CC2=C(C(=O)[C@@]3([C@H](C2=CO1)[C@H]4C(=O)O[C@@H]([C@H]([C@]4(O3)OC)C)C)C)Cl
"(3R,4S,1'R)-3-(1'-hydroxyethyl)-4-methyldihydrofuran-2(3H)-one",C[C@@H]1COC(=O)[C@H]1[C@@H](C)O
Fuzanin D,CC1=C(N=CC=C1)/C=C/C=C/[C@@H]([C@@H](C)O)O
3-Dimethylallyl-l-tyrosine,CC(=CCC1=C(C=CC(=C1)C[C@@H](C(=O)O)N)O)C
Pestalamide A,C[C@@H](CC(=O)NC(=O)C1=COC(=CC1=O)CC2=CC=CC=C2)C(=O)O
Pestalamide B,C[C@@H](CC(=O)NC(=O)C1=CNC(=CC1=O)CC2=CC=CC=C2)C(=O)O
Ascomycone A,CC1=CC2=C(C(O1)OC)C(=O)C3=C(C2=O)C=C(C=C3O)OC
Ascomycone C,CC(=O)CC1(/C(=C\\OC)/C(=O)C2=C(C1=O)C=C(C=C2O)OC)O
Ascomycone B,CC1=CC2=C(C(O1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC
"6-[(E)-3,7-dimethyl-8-oxonon-2-enyl]-7-hydroxy-5-methoxy-4-methyl-3H-2-benzofuran-1-one",CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\\C)/CCCC(C)C(=O)C)O
(-)-Versicolamide B,CC1(C=CC2=C(O1)C=CC3=C2NC(=O)[C@@]34C[C@@]56[C@H](C4(C)C)C[C@]7(CCCN7C5=O)C(=O)N6)C
(-)-Brevianamide B,CC1([C@H]2C[C@]34CCCN3C(=O)[C@@]2(C[C@]15C(=O)C6=CC=CC=C6N5)NC4=O)C
spiropreussione A,C1=CC2=C3C(=C1)OC4(C=CC5(C4O)C(=O)C=CC5=O)OC3=CC=C2
Siphonazole B,CC1=C(N=C(O1)CC(=O)C2=C(OC(=N2)/C=C/C3=CC(=C(C=C3)OC)OC)C)C(=O)NC/C=C/C=C
Hamavellone B,C[C@@H]1[C@H]([C@]1(C)C(=O)C)/C=C/C(=O)C
Ammosamide A,CN1C2=C(C(=C(C3=C2C(=CC(=N3)C(=O)N)C1=S)N)Cl)N
3-hydroxymethyl-4-methyl-furan-2(5H)-one,CC1=C(C(=O)OC1)CO
Cordyceamide B,CC(=O)OC[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)C3=CC=CC=C3
Cordyceamide A,CC(=O)OC[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)C3=CC=CC=C3
Cephalosol,C[C@@]1(C2=C(C(=O)O1)OC(=O)C3=C2C=C(C=C3O)OC)CC(=O)OC
Notoamide I,CC1(C=CC2=C(O1)C=CC3=C2NC4=C3C(=O)[C@]56[C@H](C4(C)C)C[C@@]7(CCCN7C5=O)C(=O)N6)C
notoamide J,CC(C)(C=C)[C@]1(C2=C(C=C(C=C2)O)NC1=O)C[C@H]3C(=O)N4CCC[C@H]4C(=O)N3
Caerulomycin F,COC1=CC(=NC(=C1)C2=CC=CC=N2)CO
"(2E,4Z,6E)-4-methoxy-7-[(2R,3S,7S,9R,10R,12R)-7-methoxy-13-oxo-8,11-dioxatetracyclo[7.5.0.02,7.010,12]tetradec-1(14)-en-3-yl]-6-methylhepta-2,4,6-trienoic acid",C/C(=C\\[C@@H]1CCC[C@]2([C@H]1C3=CC(=O)[C@H]4[C@@H]([C@@H]3O2)O4)OC)/C=C(/C=C/C(=O)O)\\OC
"(2E,4Z,6E)-4-Methoxy-6-methyl-7-(4abeta-hydroxy-8-oxo-1,2,3,4,4a,5aalpha,6,7,8,9balpha-decahydro-6beta,7beta-epoxydibenzofuran-1alpha-yl)-2,4,6-heptatrienoic acid",C/C(=C\\[C@@H]1CCC[C@]2([C@H]1C3=CC(=O)[C@H]4[C@@H]([C@@H]3O2)O4)O)/C=C(/C=C/C(=O)O)\\OC
15-Hydroxy-T-muurolol,CC(C)[C@@H]1CC[C@]([C@@H]2[C@H]1C=C(CC2)CO)(C)O
Parnafungin A2,COC(=O)[C@]12[C@H](CCC(=O)C1=C(C3=C(O2)C=C4CN5C6=C(C=CC=C6C4=C3O)C(=O)O5)O)O
(+)-beta-Muurolene,CC1=CC[C@H]2[C@@H](C1)[C@@H](CC=C2C)C(C)C
"11,15-Dihydroxy-T-muurolol",C[C@@]1(CC[C@H]([C@H]2[C@@H]1CCC(=C2)CO)C(C)(C)O)O
Pannomycin,C/C=C/[C@H]1C(=C[C@H]2C[C@@H]([C@@H](C[C@H]2[C@]1(C)/C=C(\\C)/C=C/C(=O)O)O)C)C
Nygerone A,C[C@@H](CC(=O)NC(=O)C1=CN(C(=CC1=O)CC2=CC=CC=C2)C3=CC=CC=C3)C(=O)O
Mycangimycin,C=C/C=C/C=C\\C=C\\C=C\\C=C/C=C\\C[C@H]1C[C@H](OO1)CC(=O)O
Acremine I,C[C@]12[C@H](O1)[C@@H](C(=CC2=O)[C@@H]3[C@H](O3)C(C)(C)O)O
"(3S,6S)-3-(2-Methylpropyl)-6-(propan-2-yl)piperazine-2,5-dione",CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)C(C)C
Balticol E,CC(C[C@@]1(CC(=O)C2=C([C@@H]1O)C=C(C=C2O)OC)O)O
Methyl phomopsenonate,CC1=C2CC[C@@H]([C@]23C[C@]4(CCC([C@H]4[C@@H]3CC1=O)(C)C)C)C(=O)OC
"(1S,2R,5R,7R,8R,9S,13R)-8-hydroxy-2,6',6',9,13-pentamethyl-6,16-dimethylidenespiro[10,14,17-trioxapentacyclo[7.6.1.17,12.01,12.02,7]heptadecane-5,5'-pyran]-2',11,15-trione",C[C@@H]1C23C(=O)O[C@@]4([C@H]([C@@]5(O2)C(=C)[C@@]6(CC[C@@]5([C@]3(C4=C)C(=O)O1)C)C=CC(=O)OC6(C)C)O)C
Aspernolide B,CC(C)(CCC1=C(C=CC(=C1)C[C@@]2(C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)C(=O)OC)O)O
"(3S,10aS)-3-(hydroxymethyl)-2-methyl-7-nitro-2,3-dihydro-10H-3,10a-epidithiopyrazino[1,2-a]indole-1,4-dione",CN1C(=O)[C@@]23CC4=C(N2C(=O)[C@@]1(SS3)CO)C=C(C=C4)[N+](=O)[O-]
Ampelomin A,C[C@H]1C[C@H](C=CC1=O)O
Isoflavipucine,CC1=CC2=C(C(=O)N1)OC(O2)C(=O)CC(C)C
Aspernolide A,CC1(CCC2=C(O1)C=CC(=C2)C[C@@]3(C(=C(C(=O)O3)O)C4=CC=C(C=C4)O)C(=O)OC)C
Fusaquinon A,C[C@@]12C[C@H]3[C@@H](C[C@@H]1O)C(=O)C4=C([C@H]3O2)C(=C(C=C4O)OC)O
Engyodontiumone H,COC(=O)[C@@H]1[C@@H](C=CC2=C1C(=O)C3=C(C=C(C=C3O2)CO)O)O
Chloromonilinic acid D,CC1=CC(=C2C(=C1)OC(=C(C2=O)CC(=O)OC)/C(=C/C(=O)O)/Cl)O
Quinolinone A,CO[C@H]1C(=O)NC2=CC=CC=C2[C@@]1(C3=CC=C(C=C3)OC)O
"3S*,4R*-dihydroxy-4-(4'-methoxyphenyl)-3,4-dihydro-2(1H)-quinolinone",COC1=CC=C(C=C1)[C@]2([C@H](C(=O)NC3=CC=CC=C32)O)O
"3R*,4R*-dihydroxy-4-(4'-methoxyphenyl)-3,4-dihydro-2(Lif)-quinolinone",COC1=CC=C(C=C1)[C@]2([C@@H](C(=O)NC3=CC=CC=C32)O)O
"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C[C@@H]1[C@H](C2=CC(=C(C(=C2C(=O)O1)O)OC)O)O
(+)-(7S)-sydonic acid,CC(C)CCC[C@@](C)(C1=C(C=C(C=C1)C(=O)O)O)O
"Hydroxysydonic acid, (R)-",C[C@@](CCCC(C)(C)O)(C1=C(C=C(C=C1)C(=O)O)O)O
(S)-2-Hexyl-3-methylenebutanedioic acid,CCCCCC[C@@H](C(=C)C(=O)O)C(=O)O
Isosecosterigmatocystin,COC1=C2C(=C(C(=C1)O)[C@@H](CO)[C@@H](CO)O)OC3=CC=CC(=C3C2=O)O
"1-(3-Ethyl-2,4-dihydroxy-6-methoxyphenyl)butan-1-one",CCCC(=O)C1=C(C=C(C(=C1O)CC)O)OC
Gliocladic acid,CC(C)[C@H]1CCC(=C[C@@H]1/C=C(\\CO)/C(=O)O)CO
"(3S,7R)-7-hydroxyresorcylide",C[C@H]1CCC[C@H](CC(=O)CC2=C(C(=CC(=C2)O)O)C(=O)O1)O
"(3S,7S)-7-hydroxyresorcylide",C[C@H]1CCC[C@@H](CC(=O)CC2=C(C(=CC(=C2)O)O)C(=O)O1)O
"(3R,8aR)-3-(4-Hydroxybenzyl)octahydropyrrolo[1,2-a]pyrazine-1,4-dione",C1C[C@@H]2C(=O)N[C@@H](C(=O)N2C1)CC3=CC=C(C=C3)O
4-(3-Methyl-2-butenyl) oxy 1-phenyl acetic acid,CC(=CCOC1=CC=C(C=C1)CC(=O)O)C
"(3R,5R)-7-[(1S,2S,6R,8S,8aR)-2,6-Dimethyl-8-((R)-2-methyl-butyryloxy)-1,2,6,7,8,8a-hexahydro-naphthalen-1-yl]-3,5-dihydroxy-heptanoic acid",CC[C@@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)C
Piltunine A,C/C(=C\\1/CC[C@@]23[C@H]1CC[C@@]([C@@H](C2)OC3)(C(=O)O)O)/CO
Aspergillumarin B,C[C@@H](CCC[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1)O
Citreoviridin 1b,C[C@H]1[C@@]([C@@H]([C@@](O1)(C)/C=C(\\C)/C=C/C=C/C=C/C2=CC(=C(C(=O)O2)C)OC)O)(C)O
2-O-methylbutyrolactone II,COC1=C([C@](OC1=O)(CC2=CC=C(C=C2)O)C(=O)OC)C3=CC=C(C=C3)O
"(3S)-6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-2-benzopyran-1-one",C[C@H]1CC2=C(C(=CC(=C2)O)OC)C(=O)O1
"(2R*,4S*)-2-((1'S*)-hydroxy-4'-methylpentyl)-4-(hydroxymethyl)butanolide",CC(C)CC[C@@H]([C@H]1C[C@H](OC1=O)CO)O
"6-Chloro-4,5,7-trihydroxy-9,10-dihydro-9,10-dioxoanthracene-2-carboxylic acid",C1=C(C=C(C2=C1C(=O)C3=CC(=C(C(=C3C2=O)O)Cl)O)O)C(=O)O
Secocycloheximide A,C[C@H]1C[C@@H](C(=O)/C(=C/C[C@@H](CC(=O)N)CC(=O)O)/C1)C
Aspilactonol G,C[C@@H](CC1=C[C@@H](OC1=O)[C@@H](C)O)O
(-)-12-Hydroxysydonic acid,C[C@@H](CCC[C@](C)(C1=C(C=C(C=C1)C(=O)O)O)O)CO
"6R,8R-dihydroxy-9Z,12Z-octadecadienoic acid",CCCCC/C=C\\C/C=C\\[C@@H](C[C@@H](CCCCC(=O)O)O)O
Ralfuranone L,C1C(=C(C(=O)O1)CC2=CC=CC=C2)C3=CC=CC=C3
Kipukasin I,CC1=CC(=CC(=C1C(=O)O[C@@H]2[C@H](O[C@H]([C@@H]2O)N3C=CC(=O)NC3=O)CO)OC)O
Dihydrocarneamide A,CC1(C=CC2=CC3=C(C=C2O1)NC(=C3C[C@H]4C(=O)N5CCC[C@H]5C(=O)N4)C(C)(C)C=C)C
Asperversiamide F,CC1(C=CC2=CC3=C(C=C2O1)NC(=C3C[C@H]4C(=O)N5CCC[C@@H]5C(=O)N4)C(C)(C)C=C)C
Bisbynin,C[C@H]1[C@@H](C2=C(CO1)[C@@H]([C@@]3([C@H]([C@@H]2O)O3)CC=C(C)C)O)O
Xylaric acid D,CC(C)[C@H]1CCC2=C([C@@H]1/C=C(\\CO)/C(=O)O)C(=O)OC2
Aspergamid B,CC1(C=CC2=C(O1)C=CC3=C2N=C4[C@]3(C[C@]56[C@H](C4(C)C)C[C@@]7(CCCN7C5=O)C(=O)N6)O)C
1'-Hydroxyisorhodoptilometrin,C[C@H]([C@H](C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O)O)O
3-Hydroxy-4-(5-hydroxy-5-methyl-1-methylenehexyl)benzoic acid,CC(C)(CCCC(=C)C1=C(C=C(C=C1)C(=O)O)O)O
"(3R)-1-(2,5-dihydroxyphenyl)-3-hydroxybutan-1-one",C[C@H](CC(=O)C1=C(C=CC(=C1)O)O)O
Aspergivone B,COC1=CC(=C(C2=C1C(=O)C(=C(O2)C3=CC=CC=C3O)OC)OC)OC
"(R)-2-Amino-3-(1H-1,2,4-triazol-3-yl)propanoic acid",C1=NNC(=N1)C[C@H](C(=O)O)N
Epilovastatin,CC[C@@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
(Z)-9-hydroxybenzo[c]oxepin-3(1H)-one,C1C2=C(C=CC=C2O)C=CC(=O)O1
Pseudoanguillosporin A,CCCCCCC[C@@H]1CC2=C(C(=CC(=C2CO1)O)O)C
Cis-4-hydroxy-6-deoxyscytalone,C1[C@H]([C@H](C2=C(C1=O)C(=CC=C2)O)O)O
Methyl 3-(4-methoxyphenoxy)propionate,COC1=CC=C(C=C1)OCCC(=O)OC
Ethyl Asterrate,CCOC(=O)C1=C(C=C(C=C1OC2=C(C=C(C=C2OC)O)C(=O)OC)C)O
Altertenuol,COC1=CC2=C(C(=C1)O)C(=O)OC3=CC(=C(C=C32)O)O
Speciosin J,CC(=CC[C@@H]1C[C@H](CC[C@@H]1O)O)C
Farinomalein,CC(C)C1=CC(=O)N(C1=O)CCC(=O)O
Speciosin B,C1C(O1)C#C[C@]23[C@H](O2)[C@H](C=CC3=O)O
"2,3,4,5-Tetramethoxybenzoyl chloride",COC1=C(C(=C(C(=C1)C(=O)Cl)OC)OC)OC
"(4-Buta-2,3-dienyloxyphenyl)-methanol",C=C=CCOC1=CC=C(C=C1)CO
Preechinulin,C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=C(NC3=CC=CC=C32)C(C)(C)C=C
"(3R)-3-hydroxy-7,9-dimethoxy-3-methyl-1,4-dihydrobenzo[g]isochromene-5,10-dione",C[C@@]1(CC2=C(CO1)C(=O)C3=C(C2=O)C=C(C=C3OC)OC)O
"Ent-4(15)-eudesmen-1alpha,11-diol",C[C@]12CC[C@@H](C[C@@H]1C(=C)CC[C@@H]2O)C(C)(C)O
Ustusol A,CC1=CC(=O)[C@@H]2[C@@]([C@]1(CO)O)(CC[C@@H](C2(C)C)O)C
Ustusolate E,C[C@]12CCCC([C@@H]1[C@@H](C=C3[C@@]2(C(=O)OC3)O)OC(=O)/C=C/C=C/C=O)(C)C
Ustusol C,C[C@]12CCCC([C@@H]1[C@@H](C=C([C@@]2(CO)O)CO)OC)(C)C
Ustusolate C,CC(C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(=O)[C@@]2([C@@]3([C@@H]1C(CCC3)(C)C)C)O)O
Antrocinnamomin C,CC(C)CC1=C(C(=O)OC1=O)C2=CC=C(C=C2)O
cyclo(D)-Pro-(D)-Ile,CC[C@@H](C)[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N1
Cephalospolide C,C[C@@H]1CCC(=O)C[C@@H]([C@H](CC(=O)O1)O)O
Methylpendolmycin,CC[C@H](C)[C@H]1C(=O)N[C@@H](CC2=CNC3=C(C=CC(=C23)N1C)C(C)(C)C=C)CO
"(11E)-3beta,15,19-Trihydroxylabda-8(20),11,13-trien-16-oic acid 16,15-lactone",C[C@]12CC[C@@H]([C@]([C@@H]1CCC(=C)[C@@H]2/C=C/C3=CCOC3=O)(C)CO)O
"Hexahydro-1,4-diazocine-2,5-dione",C1CC(=O)NCC(=O)NC1
Lorneic acid A,CCCC/C=C/C1=C(C=CC(=C1)C)/C=C/CC(=O)O
Tropodithietic acid,C1=CC(=O)C(=C2C(=C1)SS2)C(=O)O
46-Dimethylcurvulinic acid,CC1=C(C(=C(C(=C1O)C)O)C(=O)C)CC(=O)O
3-(4-hydroxy-3-methoxyphenyl)-N-[4-[3-(4-hydroxy-3-methoxyphenyl)propanoylamino]butyl]propanamide,COC1=C(C=CC(=C1)CCC(=O)NCCCCNC(=O)CCC2=CC(=C(C=C2)O)OC)O
Pestalotether D,CC1=CC(=C(C(=C1)OC2=C(C=C(C=C2O)OC)C(=O)OC)C(=O)OC)O
(+/-)-strobide B,CC1=C(C(=C2C(OC(=O)C2=C1OC)O)C(=O)O)O
Austalide Q acid,CC1=C2COC(=O)C2=C(C3=C1O[C@]4(C[C@H]([C@H]([C@]([C@H]4C3)(C)CCC(=O)O)C(=C)C)O)C)OC
2-Oxepincarboxylic acid methyl ester,COC(=O)C1=CC=CC=CO1
"(6R,7R)-6,7-Dihydroxy-3,7-dimethyl-1,5,6,7-tetrahydro-8H-isochromen-8-one",CC1=CC2=C(CO1)C(=O)[C@]([C@@H](C2)O)(C)O
Vibralactone D,CC(=CC[C@@]12C[C@@H](C[C@@H]1O)COC2=O)C
"(S)-1-Oxo-2,3-dihydro-1H-pyrrolizine-3-carboxylic acid",C1[C@H](N2C=CC=C2C1=O)C(=O)O
3-Formyl-L-tyrosine,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)C=O)O
Methyl 2-amino-3-hydroxy-4-methoxybenzoate,COC1=C(C(=C(C=C1)C(=O)OC)N)O
PenicisochromanD,CC1CC2=C(CO1)C(=CC=C2)O
Penialidin F,CC1(CC2=C(CO1)C(=O)C3=CC(=C(C=C3O2)O)O)O
Hispidulactone E,CC(=O)C[C@H](CC1=CC2=CC(=CC(=C2C(=O)O1)O)OC)O
Striastisporolide A,CCCCCC1C(=C(C(=O)O1)C)C(=O)O
Terphenolide,COC1=C(C(=C(C(=C1)C2=CC=C(C=C2)O)OC)O)C3=CC(=O)OC3CC(=O)O
Echoside B,COC1=C(C(=C(C=C1C2=CC=CC=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)C4=CC=CC=C4)O
Cochlioquinone C,CC[C@H](C)C(=O)[C@@H](C)C1=CC(=O)C2=C(C1=O)O[C@@]3(CC[C@@H]4[C@@]([C@H]3[C@@H]2O)(CC[C@@H](O4)C(C)(C)O)C)C
